gene_set,interaction_type,ffa_type,interaction_score,epistatic_fold,standard_error,p_value,fdr_corrected_p,effect_size,significant_p05,significant_fdr05,ci_lower,ci_upper
FKH1:GCN5,digenic,C140,-0.10080064998306515,0.9041132499138148,0.20894152577115754,0.6298094259177665,0.6780912156960546,0.10080064998306515,False,False,-0.5117901586768654,0.31018885871073515
FKH1:MED4,digenic,C140,-0.8300538685658552,0.4360257976044967,0.19692684742115613,3.208957657916476e-05,8.494299682720084e-05,0.8300538685658552,True,True,-1.2174104171098892,-0.4426973200218211
FKH1:OPI1,digenic,C140,-1.4850288616461493,0.2264958035403969,0.19692684742115601,4.339183020169302e-13,5.884645465709053e-12,1.4850288616461493,True,True,-1.8723854101901831,-1.0976723131021155
FKH1:RFX1,digenic,C140,-1.575162761289111,0.20697386260681686,0.1969268474211562,2.0239228917807027e-14,3.9287914958095997e-13,1.575162761289111,True,True,-1.9625193098331453,-1.1878062127450768
FKH1:RGR1,digenic,C140,-1.821030948182495,0.16185879685572716,0.19692684742115568,2.6690878580674268e-18,1.7615979863245016e-16,1.821030948182495,True,True,-2.208387496726528,-1.4336743996384618
FKH1:RPD3,digenic,C140,-1.3793977219678135,0.25173011893345015,0.1969268474211558,1.345154379103255e-11,1.1382075515489081e-10,1.3793977219678135,True,True,-1.7667542705118469,-0.9920411734237802
FKH1:SPT3,digenic,C140,-1.2928131725751442,0.2744974870895607,0.19692684742115568,1.9614920486128307e-10,1.2945847520844682e-09,1.2928131725751442,True,True,-1.6801697211191773,-0.905456624031111
FKH1:YAP6,digenic,C140,-1.4126077130077044,0.24350745692468823,0.19692684742115615,4.657632630125107e-12,4.520643435121427e-11,1.4126077130077044,True,True,-1.7999642615517386,-1.0252511644636702
FKH1:TFC7,digenic,C140,-1.532897069605902,0.21590925623201118,0.19692684742115574,8.648321015376591e-14,1.4269729675371374e-12,1.532897069605902,True,True,-1.9202536181499354,-1.1455405210618688
GCN5:MED4,digenic,C140,-0.44902364862121225,0.6382510047590443,0.22036712181815,0.042366719740999634,0.06622652462625601,0.44902364862121225,True,False,-0.8824873882681755,-0.01555990897424897
GCN5:OPI1,digenic,C140,-0.4115381911144546,0.6626302139248924,0.20894152577115774,0.04969665600321809,0.07580845830999369,0.4115381911144546,True,False,-0.8225276998082554,-0.0005486824206539231
GCN5:RFX1,digenic,C140,-0.6339064696706096,0.5305153058128932,0.20894152577115738,0.002601186462407027,0.0051918842697237025,0.6339064696706096,True,True,-1.0448959783644096,-0.22291696097680963
GCN5:RGR1,digenic,C140,-0.9108954841679642,0.4021639313060848,0.20894152577115724,1.7318748264612837e-05,4.843378751967996e-05,0.9108954841679642,True,True,-1.3218849928617638,-0.4999059754741645
GCN5:RPD3,digenic,C140,-0.3568413158833137,0.6998835493261242,0.20894152577115682,0.08858190289449679,0.12636323323566545,0.3568413158833137,False,False,-0.7678308245771126,0.05414819281048516
GCN5:SPT3,digenic,C140,-0.24531249048270842,0.7824599887345817,0.2089415257711571,0.24119257610196218,0.29662192588936964,0.24531249048270842,False,False,-0.6563019991765078,0.165677018211091
GCN5:YAP6,digenic,C140,-0.30858539393250917,0.7344852289390463,0.20894152577115715,0.14063397432132468,0.1861332013076356,0.30858539393250917,False,False,-0.7195749026263087,0.10240411476129035
GCN5:TFC7,digenic,C140,-0.4022563102586161,0.6688093010348602,0.20894152577115693,0.055041945870478344,0.08293991843496736,0.4022563102586161,False,False,-0.8132458189524152,0.008733198435182998
MED4:OPI1,digenic,C140,-0.9222232216303048,0.39763402908572626,0.19692684742115615,4.099405234820836e-06,1.2643025490568934e-05,0.9222232216303048,True,True,-1.3095797701743388,-0.5348666730862707
MED4:RFX1,digenic,C140,-1.5075050012515236,0.22146183623448834,0.196926847421156,2.0434642530659975e-13,3.0651963795989964e-12,1.5075050012515236,True,True,-1.8948615497955574,-1.1201484527074899
MED4:RGR1,digenic,C140,-1.460207906367041,0.23218799634844994,0.19692684742115588,9.878160286306674e-13,1.1642117480290009e-11,1.460207906367041,True,True,-1.8475644549110746,-1.0728513578230074
MED4:RPD3,digenic,C140,-0.7586195026731333,0.46831248510039186,0.19692684742115596,0.00013999580105714807,0.0003405303268957656,0.7586195026731333,True,True,-1.145976051217167,-0.37126295412909954
MED4:SPT3,digenic,C140,-1.1036931600029705,0.33164400481965867,0.19692684742115607,4.3376963331607135e-08,1.867095378186568e-07,1.1036931600029705,True,True,-1.4910497085470045,-0.7163366114589365
MED4:YAP6,digenic,C140,-1.0234458068435353,0.35935453798100164,0.19692684742115601,3.509902090312e-07,1.2965683094809253e-06,1.0234458068435353,True,True,-1.410802355387569,-0.6360892582995015
MED4:TFC7,digenic,C140,-0.8615797243825085,0.42249413058728363,0.1969268474211562,1.619035423955468e-05,4.566510170130807e-05,0.8615797243825085,True,True,-1.2489362729265427,-0.4742231758384743
OPI1:RFX1,digenic,C140,-0.5692860818601204,0.5659293217213417,0.19692684742115588,0.004090501213243909,0.007848054653316802,0.5692860818601204,True,True,-0.956642630404154,-0.18192953331608686
OPI1:RGR1,digenic,C140,-0.840754181397225,0.4313850581286875,0.19692684742115596,2.549925172003044e-05,6.878544741915568e-05,0.840754181397225,True,True,-1.2281107299412588,-0.4533976328531913
OPI1:RPD3,digenic,C140,-0.35078552393616835,0.7041347577129269,0.1969268474211559,0.0757615570393934,0.11062528240265408,0.35078552393616835,False,False,-0.7381420724802019,0.036571024607865266
OPI1:SPT3,digenic,C140,-0.2575428821522907,0.7729484799083655,0.19692684742115604,0.19182658080907633,0.2419214203834211,0.2575428821522907,False,False,-0.6448994306963246,0.1298136663917432
OPI1:YAP6,digenic,C140,-0.24826054277544496,0.7801566526166731,0.1969268474211561,0.20829589763116058,0.2603698720389507,0.24826054277544496,False,False,-0.635617091319479,0.13909600576858905
OPI1:TFC7,digenic,C140,-0.12318063304616333,0.8841039497469813,0.1969268474211562,0.5320554275257017,0.5852609702782718,0.12318063304616333,False,False,-0.5105371815901976,0.2641759154978709
RFX1:RGR1,digenic,C140,-1.1376278441548808,0.3205785829207639,0.19692684742115601,1.727119983323695e-08,7.952785039490503e-08,1.1376278441548808,True,True,-1.5249843926989146,-0.750271295610847
RFX1:RPD3,digenic,C140,-0.7333673795370466,0.4802889487960423,0.19692684742115596,0.00022963050471630183,0.0005425637223607132,0.7333673795370466,True,True,-1.1207239280810803,-0.34601083099301283
RFX1:SPT3,digenic,C140,-0.7124265150742991,0.4904526616291076,0.19692684742115607,0.0003425759557299534,0.0007850698985478099,0.7124265150742991,True,True,-1.099783063618333,-0.32506996653026515
RFX1:YAP6,digenic,C140,-0.730720349812142,0.48156197204192014,0.19692684742115607,0.00024166573722958457,0.000569640666326878,0.730720349812142,True,True,-1.118076898356176,-0.343363801268108
RFX1:TFC7,digenic,C140,-0.745511301212713,0.47449162976070186,0.19692684742115588,0.0001813065734373114,0.00043460897748895464,0.745511301212713,True,True,-1.1328678497567466,-0.35815475266867947
RGR1:RPD3,digenic,C140,-1.2015242337327474,0.3007354712371186,0.1969268474211559,2.878964582593811e-09,1.5143751606285286e-08,1.2015242337327474,True,True,-1.588880782276781,-0.8141676851887139
RGR1:SPT3,digenic,C140,-0.8933283944570518,0.4092912005648295,0.19692684742115588,7.962143754063538e-06,2.360036621713444e-05,0.8933283944570518,True,True,-1.2806849430010854,-0.5059718459130182
RGR1:YAP6,digenic,C140,-0.9547674873513777,0.38490162864661925,0.19692684742115615,1.901974612520607e-06,6.2349498887264925e-06,0.9547674873513777,True,True,-1.3421240358954118,-0.5674109388073436
RGR1:TFC7,digenic,C140,-0.7361491257746591,0.4789547633627563,0.19692684742115607,0.0002175929299596513,0.0005166252763672658,0.7361491257746591,True,True,-1.123505674318693,-0.3487925772306251
RPD3:SPT3,digenic,C140,-0.30688668946643327,0.7357339625921501,0.196926847421156,0.12007920106995698,0.16218063991713152,0.30688668946643327,False,False,-0.6942432380104671,0.08046985907760051
RPD3:YAP6,digenic,C140,-0.38864147968888063,0.6779772950774203,0.19692684742115588,0.049249133643149604,0.07535802520358285,0.38864147968888063,True,False,-0.7759980282329142,-0.001284931144847068
RPD3:TFC7,digenic,C140,-0.28861059795529065,0.7493039290821778,0.19692684742115582,0.1436943663606914,0.18942399826509254,0.28861059795529065,False,False,-0.6759671464993241,0.0987459505887428
SPT3:YAP6,digenic,C140,-0.2755209771604285,0.7591765065596416,0.19692684742115601,0.16269903227064716,0.21027681716441343,0.2755209771604285,False,False,-0.6628775257044623,0.11183557138360534
SPT3:TFC7,digenic,C140,-0.34552864763921964,0.7078460533950339,0.19692684742115654,0.08023315133665784,0.11613846769498672,0.34552864763921964,False,False,-0.7328851961832545,0.04182790090481525
YAP6:TFC7,digenic,C140,-0.18101210175862636,0.8344252606215916,0.1969268474211562,0.358654581720245,0.4197021700981591,0.18101210175862636,False,False,-0.5683686503026606,0.20634444678540786
FKH1:GCN5:MED4,trigenic,C140,0.6996728958633813,2.0130941083508564,0.2955365486934748,0.0184730051213141,0.03145744875154761,0.6996728958633813,True,True,0.11835034401399991,1.2809954477127627
FKH1:GCN5:OPI1,trigenic,C140,0.6778361971961246,1.9696112676176334,0.28711799739273536,0.018801391359260993,0.03192689098742433,0.6778361971961246,True,True,0.11307299730052356,1.2425993970917257
FKH1:GCN5:RFX1,trigenic,C140,0.6840967784881942,1.9819808590867747,0.2871179973927352,0.017741638664002583,0.030387927815506154,0.6840967784881942,True,True,0.11933357859259341,1.2488599783837948
FKH1:GCN5:RGR1,trigenic,C140,1.2721708627514139,3.5685910811384294,0.28711799739273514,1.269928459141141e-05,3.6653911794452755e-05,1.2721708627514139,True,True,0.7074076628558132,1.8369340626470145
FKH1:GCN5:RPD3,trigenic,C140,0.5414920527258982,1.718569145957134,0.28711799739273497,0.06015804970848257,0.08943469682653078,0.5414920527258982,False,False,-0.023271147169702133,1.1062552526214984
FKH1:GCN5:SPT3,trigenic,C140,0.3594397943709877,1.4325266802232153,0.2871179973927347,0.2114760265609325,0.2640116851139006,0.3594397943709877,False,False,-0.20532340552461203,0.9242029942665875
FKH1:GCN5:YAP6,trigenic,C140,0.46958550108928465,1.599331134795111,0.2871179973927351,0.1028721999733803,0.1421583010857188,0.46958550108928465,False,False,-0.09517769880631588,1.0343487009848853
FKH1:GCN5:TFC7,trigenic,C140,0.7888382226354627,2.200838056578559,0.2871179973927349,0.0063283872983597765,0.011710473692291922,0.7888382226354627,True,True,0.22407502273986246,1.3536014225310629
FKH1:MED4:OPI1,trigenic,C140,1.7337367986064791,5.661771327290616,0.2784966184183762,1.4239322755792774e-09,7.919623330469016e-09,1.7337367986064791,True,True,1.185931914181474,2.2815416830314845
FKH1:MED4:RFX1,trigenic,C140,1.8986701834754556,6.6770093384568865,0.2784966184183759,4.2709650053891294e-11,3.179139364913713e-10,1.8986701834754556,True,True,1.3508652990504508,2.4464750679004603
FKH1:MED4:RGR1,trigenic,C140,2.0326785364152906,7.634508304614061,0.2784966184183762,2.091391179903914e-12,2.2505187696792115e-11,2.0326785364152906,True,True,1.4848736519902854,2.580483420840296
FKH1:MED4:RPD3,trigenic,C140,1.334039988429113,3.7963496568615085,0.27849661841837586,2.498568677190865e-06,7.979299969093408e-06,1.334039988429113,True,True,0.7862351040041085,1.8818448728541175
FKH1:MED4:SPT3,trigenic,C140,1.3074545413502874,3.6967517969123427,0.278496618418376,3.886773435219434e-06,1.2062400316198243e-05,1.3074545413502874,True,True,0.7596496569252826,1.8552594257752921
FKH1:MED4:YAP6,trigenic,C140,1.6175457300651104,5.040703874974655,0.278496618418376,1.4583065587938193e-08,6.858575290164605e-08,1.6175457300651104,True,True,1.0697408456401056,2.165350614490115
FKH1:MED4:TFC7,trigenic,C140,1.6950213351265786,5.446762171333527,0.27849661841837603,3.133514443079834e-09,1.6241776432717464e-08,1.6950213351265786,True,True,1.1472164507015736,2.2428262195515836
FKH1:OPI1:RFX1,trigenic,C140,1.9627954352113686,7.119200538573574,0.27849661841837603,1.0268430632518442e-11,8.839779414081094e-11,1.9627954352113686,True,True,1.4149905507863636,2.5106003196363735
