strand,project,run_id,run_name,state,tags,primary_metric,seed,lr,dropout,num_layers,hidden_channels,target_norm,graph_prior,dist,decoder,n_train_supervised,n_val_supervised,n_test_supervised,total_param_count,perf_epoch_seconds,epochs,n_history_points,primary_last,primary_roll_max,primary_epoch_at_roll_max,is_collapsed,expression_pearson_per_feature_last,expression_pearson_per_feature_roll_max,expression_pearson_per_feature_epoch_at_roll_max,morphology_pearson_per_feature_last,morphology_pearson_per_feature_roll_max,morphology_pearson_per_feature_epoch_at_roll_max,betaxanthin_spearman_per_feature_last,betaxanthin_spearman_per_feature_roll_max,betaxanthin_spearman_per_feature_epoch_at_roll_max,beta_carotene_pearson_per_feature_last,beta_carotene_pearson_per_feature_roll_max,beta_carotene_pearson_per_feature_epoch_at_roll_max,mulleder19_spearman_per_feature_last,mulleder19_spearman_per_feature_roll_max,mulleder19_spearman_per_feature_epoch_at_roll_max,mulleder19_pearson_per_feature_last,mulleder19_pearson_per_feature_roll_max,mulleder19_pearson_per_feature_epoch_at_roll_max
expression,torchcell_019_expr_v8,qpdst11g,run_gilahyper-fb865598-3c3f-4083-b02b-511a3be7a106_fbee4bf598037ec8cd430eed25484882923803180601d0abbdc96408e59d16db,finished,"A0_baseline,_008,seed0",val/expression/pearson_per_feature,0,0.0003,0.1,4.0,90.0,zscore,,quantile,s1_pool,1244.0,155.0,155.0,887879.0,,119.0,120,0.08510328084230423,0.1526544600725174,79.0,False,,,,,,,,,,,,,,,,,,
expression,torchcell_019_expr_v8,cnse9n2t,run_gilahyper-66f29c09-61b5-439e-afca-8d4f13482e9f_124b2f48348b25e85873e593b153440a48b5d6f1058af90dd035d5550c678ffa,finished,"A4_prop_h2,_008,mech-graph-routing,seed0,stage-arch,wave1,xfer-no",val/expression/pearson_per_feature,0,0.0003,0.1,4.0,90.0,zscore,,quantile,s1_pool,1244.0,155.0,155.0,897870.0,,139.0,140,0.15870073437690735,0.17242467999458314,97.0,False,,,,,,,,,,,,,,,,,,
expression,torchcell_019_expr_v8,41mvl4l9,run_gilahyper-a9cb6bfe-dc97-4915-b259-a6d5215f0aa3_d55278566e3c2d1d9db45984f90eb2f247499b39f21ed8d530ec1046705209f0,finished,"B0_protT5,_008,seed0",val/expression/pearson_per_feature,0,0.0003,0.1,4.0,90.0,zscore,,quantile,s1_pool,1244.0,155.0,155.0,1140679.0,,69.0,70,0.09310170263051987,0.08891436606645584,27.0,False,,,,,,,,,,,,,,,,,,
expression,torchcell_019_expr_v8,563dz9hr,run_gilahyper-ee373246-6f64-4748-8c84-1784b2c275bc_28bf8a8b2f490f3fe1e81852584499dcc278f2fd636eb36e6a506370803413d7,finished,"A4_prop_h2,_008,mech-graph-routing,seed1,stage-arch,wave1,xfer-no",val/expression/pearson_per_feature,1,0.0003,0.1,4.0,90.0,zscore,,quantile,s1_pool,1253.0,151.0,150.0,897870.0,,73.0,74,0.04601813852787018,0.04838008731603623,31.0,False,,,,,,,,,,,,,,,,,,
expression,torchcell_019_expr_v8,ctg6vag5,run_gilahyper-7274c5f5-4d0c-4522-b585-6349ab9bbaee_5b0ebd46f908d32daa6be56810b9a3de1beebd755f48926d8c0026748576b8ef,finished,"A4_prop_h2,_008,mech-graph-routing,seed2,stage-arch,wave1,xfer-no",val/expression/pearson_per_feature,2,0.0003,0.1,4.0,90.0,zscore,,quantile,s1_pool,1244.0,155.0,155.0,897870.0,,69.0,70,0.08385412395000458,0.07994512468576431,31.0,False,,,,,,,,,,,,,,,,,,
expression,torchcell_019_expr_v8,yottbzsy,run_gilahyper-f52340f2-769d-4e30-b56a-5139d548aca0_a3d6309efa56b7e0472d6828558732381ddbcd9d49c6c27cbcc76853d683448f,finished,"A0_baseline,_008,seed1",val/expression/pearson_per_feature,1,0.0003,0.1,4.0,90.0,zscore,,quantile,s1_pool,1253.0,151.0,150.0,887879.0,,81.0,82,0.01892978325486183,0.02350059226155281,62.0,False,,,,,,,,,,,,,,,,,,
expression,torchcell_019_expr_v8,6nfiwtn4,run_gilahyper-923b3dec-7b97-4d27-a6b6-816894135eb4_5db40f5f54a8a5a2aaea2cc679abd44845f54538ed97908710e86f1cf5688cd0,finished,"A0_baseline,_008,seed2",val/expression/pearson_per_feature,2,0.0003,0.1,4.0,90.0,zscore,,quantile,s1_pool,1244.0,155.0,155.0,887879.0,,79.0,80,0.05401749163866043,0.0660938985645771,37.0,False,,,,,,,,,,,,,,,,,,
expression,torchcell_019_expr_v8,9c6k1nud,run_gilahyper-6d672c3a-0f6f-42ec-b3db-629b1a40ad4a_b9c8fe9a55a5fc5df778dd8bd5634b50d16eda0144f8dae488d408833e3b60ce,finished,"A2_self,_008,seed0",val/expression/pearson_per_feature,0,0.0003,0.1,4.0,90.0,zscore,,quantile,s1_pool,1244.0,155.0,155.0,896250.0,,122.0,123,0.1480504721403122,0.15165144503116607,97.0,False,,,,,,,,,,,,,,,,,,
expression,torchcell_019_expr_v8,jy7lrhqa,run_gilahyper-c6a925c1-7554-4f42-bb07-a59e510b3453_a783990f3e1f90e6a3d94acf9682e6a71ed00fa1c2ea5c3d2f6a35445134ba87,failed,"A6_prop_sparse,_008,mech-graph-routing,seed0,stage-arch,wave1,xfer-no",val/expression/pearson_per_feature,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
expression,torchcell_019_expr_v8,6ywbmalu,run_gilahyper-6778729f-2163-42f2-8c82-a2d51e7f3b8a_6b712b0ea81673537a2d2aedac622659b9a8542c681c0de8cf982b9b96044a92,finished,"A1_free16,_008,seed0",val/expression/pearson_per_feature,0,0.0003,0.1,4.0,90.0,zscore,,quantile,s1_pool,1244.0,155.0,155.0,995031.0,,138.0,139,0.12247604876756668,0.1522716373205185,91.0,False,,,,,,,,,,,,,,,,,,
expression,torchcell_019_expr_v8,1ghs00zz,run_gilahyper-196cb0ba-fef9-4a2e-9f6a-b811fde22a4d_914c0865c9056ccf44b7e4ec85f0e7b6454ed98772eed60222092a67d11fffe8,finished,"A6_prop_sparse,_008,mech-graph-routing,seed0,stage-arch,wave1,xfer-no",val/expression/pearson_per_feature,0,0.0003,0.1,4.0,90.0,zscore,,quantile,s1_pool,1244.0,155.0,155.0,896790.0,,139.0,140,0.13217216730117798,0.1750558316707611,103.0,False,,,,,,,,,,,,,,,,,,
expression,torchcell_019_expr_v8,e2cwmqiv,run_gilahyper-c99ea12c-eb68-4e9f-acbc-76a64c8e7f32_ca39d290a6c8d0cf3f5b84b84d45c912c020ae980be0016a9b9b28e1b9e49f37,finished,"A6_prop_sparse,_008,mech-graph-routing,seed1,stage-arch,wave2,xfer-no",val/expression/pearson_per_feature,1,0.0003,0.1,4.0,90.0,zscore,,quantile,s1_pool,1253.0,151.0,150.0,896790.0,,87.0,88,0.03728402405977249,0.046431838721036914,77.0,False,,,,,,,,,,,,,,,,,,
expression,torchcell_019_expr_v8,zxydjk0k,run_gilahyper-62441e40-e3c8-4d87-8628-266b2dc72387_03c878817f5dfef4d89c391b0a4d4d6b0fdd862d5c0fcceb9b74f8e0bcb27015,finished,"A6_prop_sparse,_008,mech-graph-routing,seed2,stage-arch,wave2,xfer-no",val/expression/pearson_per_feature,2,0.0003,0.1,4.0,90.0,zscore,,quantile,s1_pool,1244.0,155.0,155.0,896790.0,,75.0,76,0.07689791917800903,0.09013788998126984,34.0,False,,,,,,,,,,,,,,,,,,
expression,torchcell_019_expr_v8,fcswy9gv,run_gilahyper-6e2f11b1-5ac1-4394-ba3f-88f7b84c3553_c4ef61f11d15903180b60e3d04bfc433c43d0e3d195a061c0ea4ab5fccacebb2,finished,"E0_perceiver32,_008,seed0",val/expression/pearson_per_feature,0,0.0003,0.1,4.0,90.0,zscore,,quantile,s1_pool,1244.0,155.0,155.0,989310.0,,113.0,114,0.14019981026649475,0.157191264629364,106.0,False,,,,,,,,,,,,,,,,,,
expression,torchcell_019_expr_v8,g6h8sfh6,run_gilahyper-32c3617e-e84d-4c49-82ab-35817076ef44_6fc529532b5b9ec60544adb3d7be9942ed3b62490de7da861187f7c320330929,finished,"C0_concat,_008,seed0",val/expression/pearson_per_feature,0,0.0003,0.1,4.0,90.0,zscore,,quantile,s1_pool,1244.0,155.0,155.0,904079.0,,139.0,140,0.1592480093240738,0.16103329062461852,106.0,False,,,,,,,,,,,,,,,,,,
expression,torchcell_019_expr_v8,e0uq7csz,run_gilahyper-4fb9e5a0-de5a-4f60-a7f2-7e12a1984973_939bd2ebd34af8c6b5b69171eb532471ec50cd891af8f1994d85cc133b3b689d,finished,"D1_bilinear32,_008,seed0",val/expression/pearson_per_feature,0,0.0003,0.1,4.0,90.0,zscore,,quantile,s1_pool,1244.0,155.0,155.0,896583.0,,122.0,123,0.11584299057722092,0.15209501087665558,70.0,False,,,,,,,,,,,,,,,,,,
expression,torchcell_019_expr_v8,3d8opzhr,run_gilahyper-00daa507-f922-4e55-ae16-ced3a2d20305_937d0cf92ef806dabf53aa6543935e4374e92b1ac9783db8e7e02a92e2a689be,finished,"S1_warmup,_008,seed1",val/expression/pearson_per_feature,1,0.0003,0.1,4.0,90.0,zscore,,quantile,s1_pool,1253.0,151.0,150.0,887879.0,,40.0,41,-0.0019650410395115614,0.01336772033634285,0.0,False,,,,,,,,,,,,,,,,,,
expression,torchcell_019_expr_v8,etaxogte,run_gilahyper-b6dcb950-70e8-4e85-9f72-cc7fb4294699_ceb426f1f81555e2e6e0df69ac8e750878bcb48fb5f4a14a2ccf50befdda67ae,finished,"S1_warmup,_008,seed0",val/expression/pearson_per_feature,0,0.0003,0.1,4.0,90.0,zscore,,quantile,s1_pool,1244.0,155.0,155.0,887879.0,,121.0,122,0.11794906854629517,0.1330019012093544,87.0,False,,,,,,,,,,,,,,,,,,
expression,torchcell_019_expr_v8,p7ayltm8,run_gilahyper-c8587734-3d20-44a1-a57a-a5dce8579e86_8d4490eacd681da1136ff4f3cc7f117e238a773408b78a40939533c2f19470b6,finished,"S2_rezero,_008,seed1",val/expression/pearson_per_feature,1,0.0003,0.1,4.0,90.0,zscore,,quantile,s1_pool,1253.0,151.0,150.0,887881.0,,73.0,74,0.011318717151880264,0.03208246901631355,35.0,False,,,,,,,,,,,,,,,,,,
expression,torchcell_019_expr_v8,3m8d668j,run_gilahyper-8bd9ed24-1214-4beb-9ef8-04b25130552d_fc6b79a0bec5e468871e6aba266b8ab13f2e83fcf964e8a6eb0a80c31a46ea59,finished,"S3_both,_008,seed1",val/expression/pearson_per_feature,1,0.0003,0.1,4.0,90.0,zscore,,quantile,s1_pool,1253.0,151.0,150.0,887881.0,,76.0,77,0.021812599152326584,0.033033177629113196,37.0,False,,,,,,,,,,,,,,,,,,
expression,torchcell_019_expr_v8,svwwr9n3,run_gilahyper-64e8fa12-ae76-4f7c-8e3a-562e5d7fa8d4_65ad630658974bad1f6c8251598bca65f2b5fb448525d68d651e7dc39ea6ba3d,finished,"D2_mask,_008,seed0",val/expression/pearson_per_feature,0,0.0003,0.1,4.0,90.0,zscore,,quantile,s1_pool,1244.0,155.0,155.0,887879.0,,0.0,1,0.0263381190598011,0.0263381190598011,0.0,False,,,,,,,,,,,,,,,,,,
expression,torchcell_019_expr_v8,cypajgl8,run_gilahyper-93ae89a6-6adb-429a-9057-d7c41a6ef587_d33d0be5371bb794099d59da2b254b6a40f3b1a51db7cab86f972ce4f95c6392,finished,"G1_layers6,_008,seed0",val/expression/pearson_per_feature,0,0.0003,0.1,6.0,90.0,zscore,,quantile,s1_pool,1244.0,155.0,155.0,1084619.0,,,0,,,,,,,,,,,,,,,,,,,,,,
expression,torchcell_019_expr_v8,2482zuly,run_gilahyper-c5a8e5b9-3d19-4be4-b6cf-fae028dac0df_d6aa6887a26f41ed726693808dccb24a3e8652349af8ad795ec2819960de48e6,failed,"G1_layers8,_008,seed0",val/expression/pearson_per_feature,0,0.0003,0.1,8.0,90.0,zscore,,quantile,s1_pool,1244.0,155.0,155.0,1281359.0,,,0,,,,,,,,,,,,,,,,,,,,,,
expression,torchcell_019_expr_v8,kz4wri7l,run_gilahyper-0aeaf355-a2fe-40d5-a00a-655cb8b68972_c82a7c4e9fa815b21fca42410d1e22220b2f3d2914687e8dfa3bcab01c329e1d,finished,"F0_pert_set,_008,seed0",val/expression/pearson_per_feature,0,0.0003,0.1,4.0,90.0,zscore,,quantile,s1_pool,1244.0,155.0,155.0,904079.0,,,0,,,,,,,,,,,,,,,,,,,,,,
expression,torchcell_019_expr_v8,fbcvdmfn,run_gilahyper-9774201f-6bd7-4d20-a9e4-2aff90a28132_b629971ae3f129b9e963ea560274e9ae34321648e6ee6a899b4d2539ec478dbb,finished,"F2_film,_008,seed0",val/expression/pearson_per_feature,0,0.0003,0.1,4.0,90.0,zscore,,quantile,s1_pool,1244.0,155.0,155.0,920549.0,,,0,,,,,,,,,,,,,,,,,,,,,,
expression,torchcell_019_expr_v8,ghyg4gnq,run_gilahyper-a2218df4-4f48-4797-a34d-fe5261375310_e638651fbc352de6dbc0b879c4f2eee6fd49585ab374928f93537f448bf8529f,finished,"F1_deep2,_008,mech-capacity,pack2,seed0,stage-arch,wave3,xfer-yes",val/expression/pearson_per_feature,0,0.0003,0.1,4.0,90.0,zscore,,quantile,s1_pool,1244.0,155.0,155.0,986249.0,,,0,,,,,,,,,,,,,,,,,,,,,,
expression,torchcell_019_expr_v8,c2apezn4,run_gilahyper-06927924-7fe6-4b9c-874d-36a8d2436d52_9f9e4862fb6f5f6cb07338b37c836fc41cc22285a8197b6d81f9bf3bd0481a34,finished,"C0_concat,_008,seed1",val/expression/pearson_per_feature,1,0.0003,0.1,4.0,90.0,zscore,,quantile,s1_pool,1253.0,151.0,150.0,904079.0,,,0,,,,,,,,,,,,,,,,,,,,,,
expression,torchcell_019_expr_v8,v4scgaon,run_gilahyper-ec588f79-c07b-4105-b9bf-b08990569fcc_f6e03f5319e43a9144dee520aa99abcc0b2e5ea3a10c797602f497d64941b804,failed,"A0_baseline,_008,seed0",val/expression/pearson_per_feature,0,0.0003,0.1,4.0,90.0,zscore,,quantile,s1_pool,1244.0,155.0,155.0,887879.0,,,0,,,,,,,,,,,,,,,,,,,,,,
expression,torchcell_019_expr_v8,w5ob5tku,run_gilahyper-4859f759-1708-4de2-a8b5-5c4463158c01_bbbc6540e6158375d4a9d519457c2d7418b1481b5d119b534b8c1378b783ab91,finished,"A0_baseline,_008,seed0",val/expression/pearson_per_feature,0,0.0003,0.1,4.0,90.0,zscore,,quantile,s1_pool,1244.0,155.0,155.0,887879.0,,195.0,196,0.1415177583694458,0.15759531855583192,171.0,False,,,,,,,,,,,,,,,,,,
expression,torchcell_019_expr_v8,njncg8a3,run_gilahyper-6f7f066d-00a3-4832-be3c-14b4a13d3f45_f78604cc13f944c6642d9791dcd79e1a07501d9fefeb8f6311e5f46d599a79c3,finished,"E0_perceiver_on,_008,seed0",val/expression/pearson_per_feature,0,0.0003,0.1,4.0,90.0,zscore,,quantile,s1_pool,1244.0,155.0,155.0,989309.0,,180.0,181,0.11255965381860733,0.12737221717834474,61.0,False,,,,,,,,,,,,,,,,,,
expression,torchcell_019_expr_v8,t0z68gy5,run_gilahyper-2565f5b3-9b43-43d0-8552-519921329416_ee14b11ed633aa84efd6b974b8327bed0697c67d189ffc7917bec0966d12a900,finished,"GEARS_crossgene,_008,seed0",val/expression/pearson_per_feature,0,0.0003,0.1,4.0,90.0,zscore,,quantile,s1_pool,1244.0,155.0,155.0,915843.0,,167.0,168,0.08633903414011002,0.13331326246261596,66.0,False,,,,,,,,,,,,,,,,,,
expression,torchcell_019_expr_v8,tpkyahaq,run_gilahyper-0adb4bdf-c55f-4888-8184-0858bbf35c7f_dd32abfe08f339d7c9c5beff1d1d15b20ea00af483841c0d71104768f00c2948,finished,"F1_attn4,_008,seed0",val/expression/pearson_per_feature,0,0.0003,0.1,4.0,90.0,zscore,,quantile,s1_pool,1244.0,155.0,155.0,987239.0,,221.0,222,0.16331708431243896,0.15500957667827606,122.0,False,,,,,,,,,,,,,,,,,,
expression,torchcell_019_expr_v8,00shiab3,run_gilahyper-07f6754b-c0cd-478d-b29f-1fb6a6696b60_d26fbf17a5f6945b856fd8db85a1a2aec5e0b99b1378204a21dc1d67d05f423c,finished,"F1_deep2,_008,mech-capacity,pack2,seed0,stage-arch,wave3,xfer-yes",val/expression/pearson_per_feature,0,0.0003,0.1,4.0,90.0,zscore,,quantile,s1_pool,1244.0,155.0,155.0,986249.0,,201.0,202,0.1503852754831314,0.1677793800830841,148.0,False,,,,,,,,,,,,,,,,,,
expression,torchcell_019_expr_v8,qeyzyz0c,run_gilahyper-1d6c7c11-480b-4c4c-8a0a-5bdd30851ae4_ab9910fd92d72657a0b2eb931a56e3bfca92ba9aa6fe3c2e3b64abb3840bd668,finished,"H0_factor,_008,seed0",val/expression/pearson_per_feature,0,0.0003,0.1,4.0,90.0,zscore,,quantile,s1_pool,1244.0,155.0,155.0,962377.0,,275.0,276,0.13435564935207367,0.15487976372241974,232.0,False,,,,,,,,,,,,,,,,,,
expression,torchcell_019_expr_v8,0w8ffwfs,run_gilahyper-7d9340e9-bbc1-4cc6-be0d-4b03e8963363_4e8f18e2e3795d9ac6b5c02db65f8720c4207c8954b217be6b167562516038e4,finished,"D1_bilinear32,_008,seed0",val/expression/pearson_per_feature,0,0.0003,0.1,4.0,90.0,zscore,,quantile,s1_pool,1244.0,155.0,155.0,896519.0,,174.0,175,0.1262231469154358,0.14792230278253554,86.0,False,,,,,,,,,,,,,,,,,,
expression,torchcell_019_expr_v8,au8fu60o,run_gilahyper-9cd8bfc1-38c8-42f3-ae4e-51f67ef83cb8_513f06bd4fd64f89f03414e51a58d9ce06ef04dbe672186b966ab2fd9d0181e0,finished,"D2_mask,_008,seed0",val/expression/pearson_per_feature,0,0.0003,0.1,4.0,90.0,zscore,,quantile,s1_pool,1244.0,155.0,155.0,887879.0,,234.0,235,0.11646539717912674,0.14940030574798585,86.0,False,,,,,,,,,,,,,,,,,,
expression,torchcell_019_expr_v8,nwu46mdo,run_gilahyper-1393_32fc66397473bad4f6339a344d65784ab786ebe8995ef02f58f8beebaf8ab0a3,crashed,"L0_lr3e4,cgt_expr_008,mech-optimizer,pack2,seed1,stage-ladder,wave3,xfer-yes",val/expression/pearson_per_feature,1,0.0003,0.1,4.0,90.0,zscore,,quantile,s1_pool,1253.0,151.0,150.0,887879.0,,17.0,18,-0.02814425900578499,-0.009493653383105993,2.0,False,,,,,,,,,,,,,,,,,,
expression,torchcell_019_expr_v8,x904ibg7,run_gilahyper-1395_df0bae7acddb70b0148bbe0fc18ef27a20825423f61ae15e07aa632bb8709dbc,finished,"L1_lr1e3,cgt_expr_008,mech-optimizer,pack2,seed1,stage-ladder,wave3,xfer-yes",val/expression/pearson_per_feature,1,0.001,0.1,4.0,90.0,zscore,,quantile,s1_pool,1253.0,151.0,150.0,887879.0,,18.0,19,0.006554873194545507,0.004843721073120833,7.0,False,,,,,,,,,,,,,,,,,,
expression,torchcell_019_expr_v8,yc1jmnmj,run_gilahyper-1392_c4a65c2227de00374d8c103a4a77473ec2dd5e60f7fc8541909479454da2c31b,finished,"L0_lr3e4,cgt_expr_008,mech-optimizer,pack2,seed0,stage-ladder,wave3,xfer-yes",val/expression/pearson_per_feature,0,0.0003,0.1,4.0,90.0,zscore,,quantile,s1_pool,1244.0,155.0,155.0,887879.0,,18.0,19,-0.009368645958602428,0.028260938078165054,11.0,False,,,,,,,,,,,,,,,,,,
expression,torchcell_019_expr_v8,1ys0ln07,run_gilahyper-1394_0d7691f7e00748f2e601927549b766db62da5725329b524c6a58cf4622ec8635,finished,"L1_lr1e3,cgt_expr_008,mech-optimizer,pack2,seed0,stage-ladder,wave3,xfer-yes",val/expression/pearson_per_feature,0,0.001,0.1,4.0,90.0,zscore,,quantile,s1_pool,1244.0,155.0,155.0,887879.0,,18.0,19,0.01876791939139366,0.021340005844831467,12.0,False,,,,,,,,,,,,,,,,,,
expression,torchcell_019_expr_v8,1ahs0mi7,run_gilahyper-1396_82970ee8f676dc10ce06873afd4da4d279e35eade701a97c181c4d8947e28698,crashed,"L3_lr1e3_cosine,cgt_expr_008,mech-optimizer,pack2,seed0,stage-ladder,wave3,xfer-yes",val/expression/pearson_per_feature,0,0.001,0.1,4.0,90.0,zscore,,quantile,s1_pool,1244.0,155.0,155.0,887879.0,,54.0,55,-0.002005144255235791,0.012762475851923227,10.0,False,,,,,,,,,,,,,,,,,,
expression,torchcell_019_expr_v8,6v78p223,run_gilahyper-1399_2fd1f699a811910da36b470869ab843a02167089331f1dd127b7b184b6cbed6f,crashed,"L2_lr3e3,cgt_expr_008,mech-optimizer,pack2,seed0,stage-ladder,wave3,xfer-yes",val/expression/pearson_per_feature,0,0.003,0.1,4.0,90.0,zscore,,quantile,s1_pool,1244.0,155.0,155.0,887879.0,,55.0,56,-0.0004301201261114329,0.004525936915243512,33.0,False,,,,,,,,,,,,,,,,,,
expression,torchcell_019_expr_v8,acpwpzhg,run_gilahyper-1397_c087320980cd5c51e685b00ae028f9566639860a24ddf5e3d3c42fc1bac11c90,crashed,"L0_lr3e4,cgt_expr_008,mech-optimizer,pack2,seed1,stage-ladder,wave3,xfer-yes",val/expression/pearson_per_feature,1,0.0003,0.1,4.0,90.0,zscore,,quantile,s1_pool,1253.0,151.0,150.0,887879.0,,55.0,56,0.011929827742278576,0.019969657249748706,50.0,False,,,,,,,,,,,,,,,,,,
expression,torchcell_019_expr_v8,gzykil2h,run_gilahyper-1397_395657996651636437b24e8a8a1afb594020efd13d7a22393c10aa782bd2edd9,crashed,"L0_lr3e4,cgt_expr_008,mech-optimizer,pack2,seed0,stage-ladder,wave3,xfer-yes",val/expression/pearson_per_feature,0,0.0003,0.1,4.0,90.0,zscore,,quantile,s1_pool,1244.0,155.0,155.0,887879.0,,57.0,58,0.10491281002759933,0.11187569797039032,51.0,False,,,,,,,,,,,,,,,,,,
expression,torchcell_019_expr_v8,iouimkqt,run_gilahyper-1398_08ddb9b934cc24a9aea03bbcf74c7fad3c1ec77a50d157f451fdda84baf1832f,crashed,"L1_lr1e3,cgt_expr_008,mech-optimizer,pack2,seed1,stage-ladder,wave3,xfer-yes",val/expression/pearson_per_feature,1,0.001,0.1,4.0,90.0,zscore,,quantile,s1_pool,1253.0,151.0,150.0,887879.0,,55.0,56,-0.016149384900927544,0.004921235679648817,19.0,False,,,,,,,,,,,,,,,,,,
expression,torchcell_019_expr_v8,kh4zfrj0,run_gilahyper-1398_fe1a40af7589969779dfabb98fe55694b97c0c9def612720e7ed0cfacd8af4dd,crashed,"L1_lr1e3,cgt_expr_008,mech-optimizer,pack2,seed0,stage-ladder,wave3,xfer-yes",val/expression/pearson_per_feature,0,0.001,0.1,4.0,90.0,zscore,,quantile,s1_pool,1244.0,155.0,155.0,887879.0,,55.0,56,0.0185590460896492,0.1020792618393898,51.0,False,,,,,,,,,,,,,,,,,,
expression,torchcell_019_expr_v8,ojrt0zuk,run_gilahyper-1396_e7731ba82f07b37779620b64e7328b0983001a4ca12ab6993284c1d7cd62aebf,crashed,"L3_lr1e3_cosine,cgt_expr_008,mech-optimizer,pack2,seed1,stage-ladder,wave3,xfer-yes",val/expression/pearson_per_feature,1,0.001,0.1,4.0,90.0,zscore,,quantile,s1_pool,1253.0,151.0,150.0,887879.0,,55.0,56,-0.01280298549681902,0.011352797597646713,23.0,False,,,,,,,,,,,,,,,,,,
expression,torchcell_019_expr_v8,rdue7fca,run_gilahyper-1399_63e81abdbda3de709d58efd9a52a39ef4b2f1512375df4be377a60bc46342acd,crashed,"L2_lr3e3,cgt_expr_008,mech-optimizer,pack2,seed1,stage-ladder,wave3,xfer-yes",val/expression/pearson_per_feature,1,0.003,0.1,4.0,90.0,zscore,,quantile,s1_pool,1253.0,151.0,150.0,887879.0,,55.0,56,4.859474938712083e-05,0.003784407250350341,1.0,False,,,,,,,,,,,,,,,,,,
expression,torchcell_019_expr_v8,a71kt2tb,run_gilahyper-1401_4d678445d129eec2fdb72afde020a080ab6f816608bea25524816556782fab13,crashed,"A1_ref,cgt_expr_008,mech-baseline,pack2,seed1,stage-arch,wave3,xfer-yes",val/expression/pearson_per_feature,1,0.0003,0.1,4.0,90.0,zscore,,quantile,s1_pool,1253.0,151.0,150.0,887879.0,,248.0,249,0.022628184407949448,0.03104826994240284,120.0,False,,,,,,,,,,,,,,,,,,
expression,torchcell_019_expr_v8,lw8zgco6,run_gilahyper-1401_26f62f7b4725b390d03e516670c0b055c2b7ceed696f2b5e72930f4aaaef586b,crashed,"A1_ref,cgt_expr_008,mech-baseline,pack2,seed0,stage-arch,wave3,xfer-yes",val/expression/pearson_per_feature,0,0.0003,0.1,4.0,90.0,zscore,,quantile,s1_pool,1244.0,155.0,155.0,887879.0,,249.0,250,0.1160178929567337,0.15759531855583192,171.0,False,,,,,,,,,,,,,,,,,,
expression,torchcell_019_expr_v8,nd2x18aq,run_gilahyper-1402_f1d106afb02357bc3750edee6f75c8f90a5f963908eb843856a39399d7a06e05,crashed,"A1_ref,cgt_expr_008,mech-baseline,pack2,seed42,stage-arch,wave3,xfer-yes",val/expression/pearson_per_feature,42,0.0003,0.1,4.0,90.0,zscore,,quantile,s1_pool,1244.0,155.0,155.0,887879.0,,241.0,242,0.03707914054393768,0.043636341020464896,37.0,False,,,,,,,,,,,,,,,,,,
expression,torchcell_019_expr_v8,zth1jex3,run_gilahyper-1402_a9bc332b17c0256add9ca9ac821ddd9f10aa95b3a49dcf64b3f9f565f9062e54,crashed,"A1_ref,cgt_expr_008,mech-baseline,pack2,seed2,stage-arch,wave3,xfer-yes",val/expression/pearson_per_feature,2,0.0003,0.1,4.0,90.0,zscore,,quantile,s1_pool,1244.0,155.0,155.0,887879.0,,241.0,242,0.02584247663617134,0.07226991057395935,37.0,False,,,,,,,,,,,,,,,,,,
expression,torchcell_019_expr_v8,6mx11gei,run_gilahyper-1403_e91f4396573642b293ff41e88c7cb20f89f9ddcffac538a09cd89f3da6971311,crashed,"A2_prop_sparse,cgt_expr_008,mech-graph-routing,pack2,seed1,stage-arch,wave3,xfer-no",val/expression/pearson_per_feature,1,0.0003,0.1,4.0,90.0,zscore,,quantile,s1_pool,1253.0,151.0,150.0,896790.0,,49.0,50,0.04319731518626213,0.04425176978111267,39.0,False,,,,,,,,,,,,,,,,,,
expression,torchcell_019_expr_v8,6wr3hya7,run_gilahyper-1404_361b230e8d3d34c6f72e1bcb9a9e4511d71b431dfde29472b91d503e06c92a84,crashed,"A2_prop_sparse,cgt_expr_008,mech-graph-routing,pack2,seed2,stage-arch,wave3,xfer-no",val/expression/pearson_per_feature,2,0.0003,0.1,4.0,90.0,zscore,,quantile,s1_pool,1244.0,155.0,155.0,896790.0,,49.0,50,0.06919024139642715,0.08803566992282867,35.0,False,,,,,,,,,,,,,,,,,,
expression,torchcell_019_expr_v8,7mb1a27i,run_gilahyper-1404_c5e1cf610aa65e6a16c53f988a26c87ebfe6ec13ec7be15000dc4beec66d6ba1,crashed,"A2_prop_sparse,cgt_expr_008,mech-graph-routing,pack2,seed42,stage-arch,wave3,xfer-no",val/expression/pearson_per_feature,42,0.0003,0.1,4.0,90.0,zscore,,quantile,s1_pool,1244.0,155.0,155.0,896790.0,,50.0,51,0.04344107210636139,0.05368477627635002,19.0,False,,,,,,,,,,,,,,,,,,
expression,torchcell_019_expr_v8,qs8s0ug7,run_gilahyper-1403_3d6d98e8a8c5cf6c09dbdee02afad5f76a68732946e1f40b060bfd7717bfc420,crashed,"A2_prop_sparse,cgt_expr_008,mech-graph-routing,pack2,seed0,stage-arch,wave3,xfer-no",val/expression/pearson_per_feature,0,0.0003,0.1,4.0,90.0,zscore,,quantile,s1_pool,1244.0,155.0,155.0,896790.0,,50.0,51,0.13253231346607208,0.138301283121109,50.0,False,,,,,,,,,,,,,,,,,,
