gene1,gene2,gene3,prediction
YIL174W,YLL012W,YPL081W,0.73095703125
YIL174W,YKL033W-A,YPL081W,0.71142578125
YJL017W,YKL033W-A,YPL081W,0.71142578125
YKL033W-A,YLR312C-B,YPL081W,0.71142578125
YER079W,YIL174W,YLL012W,0.7109375
YER079W,YLL012W,YLR312C-B,0.7109375
YIL174W,YLR351C,YPL081W,0.70166015625
YIL174W,YLR104W,YPL081W,0.701171875
YJL017W,YLR104W,YPL081W,0.701171875
YKL200C,YLR104W,YPL081W,0.701171875
YLR104W,YLR312C-B,YPL081W,0.701171875
YBR203W,YJL017W,YPL081W,0.69873046875
YBR203W,YLR312C-B,YPL081W,0.69873046875
YER079W,YIL174W,YLR104W,0.68408203125
YER079W,YJL017W,YLR104W,0.68408203125
YER079W,YKL200C,YLR104W,0.68408203125
YER079W,YLR104W,YLR312C-B,0.68408203125
YGL087C,YLR312C-B,YPL081W,0.68310546875
YDR155C,YIL174W,YPL081W,0.66796875
YDR155C,YKL200C,YPL081W,0.66796875
YDR155C,YLR312C-B,YPL081W,0.66796875
YER079W,YIL174W,YKR054C,0.6650390625
YER079W,YJL017W,YKR054C,0.6650390625
YER079W,YKR054C,YLL017W,0.6650390625
YER079W,YKR054C,YLR312C-B,0.6650390625
YER079W,YIL174W,YLR351C,0.66455078125
YER079W,YIL174W,YKL033W-A,0.65625
YER079W,YJL017W,YKL033W-A,0.65625
YER079W,YKL033W-A,YLL017W,0.65625
YER079W,YKL033W-A,YLR312C-B,0.65625
YER079W,YKL033W-A,YKL200C,0.65625
YBR203W,YER079W,YLL017W,0.65478515625
YBR203W,YER079W,YLR312C-B,0.65478515625
YBR203W,YER079W,YIL174W,0.65478515625
YBR203W,YER079W,YJL017W,0.65478515625
YBR203W,YER079W,YKL200C,0.65478515625
YER079W,YGL087C,YLL017W,0.64208984375
YER079W,YGL087C,YLR312C-B,0.64208984375
YER079W,YGL087C,YIL174W,0.64208984375
YDR155C,YER079W,YLL017W,0.6083984375
YDR155C,YER079W,YLR312C-B,0.6083984375
YDR155C,YER079W,YIL174W,0.6083984375
YDR155C,YER079W,YKL200C,0.6083984375
