gene,num_reactions,num_subsystems,num_metabolites,is_bottleneck,is_central_metabolism,is_metabolic_go,is_kinase,is_essential,is_low_fitness_kuzmin,is_low_fitness_costanzo,is_low_fitness_either,min_fitness_kuzmin,min_fitness_costanzo,subsystems,norm_reactions,norm_metabolites,norm_subsystems,metabolic_score,category_score,composite_score,rank
YMR110C,18,10,40,True,True,False,False,False,False,False,False,,,"Alternate carbon metabolism; Arginine and proline metabolism; Ascorbate and aldarate metabolism; Glycerolipid metabolism; Glycolysis / gluconeogenesis; Histidine metabolism; Insect hormone biosynthesis; Sphingolipid metabolism; Tryptophan metabolism; Valine, leucine and isoleucine metabolism",0.09374999951171875,0.4444444395061729,0.99999990000001,0.7708333016565424,1,0.6395833111595797,1
YKR009C,36,1,58,True,True,True,False,False,False,False,False,,,Fatty acid degradation,0.1874999990234375,0.6444444372839507,0.09999999000000101,0.5983333277945605,2,0.6188333294561923,2
YPR140W,192,1,75,False,False,False,False,False,False,False,False,,,Glycerophospholipid metabolism,0.9999999947916667,0.8333333240740742,0.09999999000000101,0.6799999921388893,1,0.5759999944972225,3
YOR245C,64,1,90,True,False,False,False,False,False,False,False,,,Glycerolipid metabolism,0.3333333315972222,0.9999999888888891,0.09999999000000101,0.6633333263055559,1,0.5643333284138891,4
YER019W,60,1,90,True,False,False,False,False,False,False,False,,,Sphingolipid metabolism,0.31249999837239584,0.9999999888888891,0.09999999000000101,0.6549999930156254,1,0.5584999951109377,5
YMR205C,2,1,7,True,True,True,True,False,False,False,False,,,Glycolysis / gluconeogenesis,0.010416666612413195,0.07777777691358026,0.09999999000000101,0.35749999671903965,3,0.5502499977033277,6
YKR089C,52,1,80,True,False,False,False,False,False,False,False,,,Glycerolipid metabolism,0.27083333192274306,0.8888888790123458,0.09999999000000101,0.6049999934728012,1,0.5234999954309608,7
YKL067W,19,2,42,True,False,False,True,False,False,False,False,,,Purine metabolism; Pyrimidine metabolism,0.09895833281792535,0.46666666148148156,0.19999998000000202,0.4395833255716152,2,0.5077083279001307,8
YDR127W,5,1,14,True,False,True,True,False,False,False,False,,,"Phenylalanine, tyrosine and tryptophan biosynthesis",0.026041666531032986,0.15555555382716052,0.09999999000000101,0.28708332976056167,3,0.5009583308323932,9
YPL214C,3,1,10,True,False,True,True,False,False,False,False,,,Thiamine metabolism,0.015624999918619792,0.11111110987654323,0.09999999000000101,0.26958332993041123,3,0.48870833095128785,10
YER069W,2,1,9,True,False,True,True,False,False,False,False,,,Arginine biosynthesis,0.010416666612413195,0.0999999988888889,0.09999999000000101,0.26416666331163224,3,0.4849166643181425,11
YOR374W,9,5,24,True,True,False,False,False,False,False,False,,,Arginine and proline metabolism; Fatty acid ester pathway; Glycolysis / gluconeogenesis; Pyruvate metabolism; Tryptophan metabolism,0.046874999755859376,0.26666666370370373,0.499999950000005,0.5487499840134564,1,0.48412498880941945,12
YCR048W,42,2,60,True,False,False,False,False,False,False,False,,,Glycerolipid metabolism; Steroid biosynthesis,0.2187499988606771,0.6666666592592594,0.19999998000000202,0.5474999913220493,1,0.48324999392543444,13
YLR345W,2,1,8,True,False,True,True,False,False,False,False,,,Fructose and mannose metabolism,0.010416666612413195,0.08888888790123459,0.09999999000000101,0.260833330015336,3,0.48258333101073514,14
YLR446W,8,1,17,True,True,False,True,False,False,False,False,,,Glycolysis / gluconeogenesis,0.04166666644965278,0.18888888679012347,0.09999999000000101,0.4033333296168985,2,0.48233333073182894,15
YJL100W,16,1,38,True,False,False,True,False,False,False,False,,,Inositol phosphate metabolism,0.08333333289930556,0.42222221753086425,0.09999999000000101,0.3899999954189818,2,0.4729999967932872,16
YMR313C,44,1,60,True,False,False,False,False,False,False,False,,,Glycerolipid metabolism,0.22916666547309028,0.6666666592592594,0.09999999000000101,0.5216666609670142,1,0.46516666267690987,17
YFL018C,11,4,23,True,True,False,False,False,False,False,False,,,"Citrate cycle (TCA cycle); Glycine, serine and threonine metabolism; Glycolysis / gluconeogenesis; One carbon pool by folate",0.05729166636827257,0.2555555527160494,0.39999996000000404,0.5195833203621251,1,0.4637083242534875,18
YDR072C,80,1,36,True,False,False,False,False,False,False,False,,,Sphingoglycolipid metabolism,0.4166666644965278,0.3999999955555556,0.09999999000000101,0.5166666614652781,1,0.4616666630256946,19
YDL168W,9,4,22,True,True,False,False,False,False,False,False,,,Complex alcohol metabolism; Fatty acid ester pathway; Phenylalanine metabolism; Tyrosine metabolism,0.046874999755859376,0.2444444417283951,0.39999996000000404,0.5120833204208635,1,0.45845832429460437,20
YCR036W,2,1,7,True,True,False,True,False,False,False,False,,,Pentose phosphate pathway,0.010416666612413195,0.07777777691358026,0.09999999000000101,0.35749999671903965,2,0.45024999770332774,21
YHR123W,16,1,28,True,False,True,False,False,False,False,False,,,Glycerophospholipid metabolism,0.08333333289930556,0.31111110765432104,0.09999999000000101,0.35666666245601886,2,0.44966666371921316,22
YMR207C,1,1,7,True,True,True,False,False,False,False,False,,,Fatty acid biosynthesis,0.005208333306206597,0.07777777691358026,0.09999999000000101,0.355416663396557,2,0.4487916643775899,23
YGL205W,18,1,39,True,True,False,False,False,False,False,False,,,Fatty acid degradation,0.09374999951171875,0.4333333285185186,0.09999999000000101,0.49749999536024336,1,0.4482499967521703,24
YOR136W,1,1,5,True,True,True,False,False,False,False,False,,,Citrate cycle (TCA cycle),0.005208333306206597,0.05555555493827161,0.09999999000000101,0.34874999680396446,2,0.4441249977627751,25
YNL037C,1,1,5,True,True,True,False,False,False,False,False,,,Citrate cycle (TCA cycle),0.005208333306206597,0.05555555493827161,0.09999999000000101,0.34874999680396446,2,0.4441249977627751,26
YIL160C,18,1,37,True,True,False,False,False,False,False,False,,,Fatty acid degradation,0.09374999951171875,0.4111111065432099,0.09999999000000101,0.49083332876765073,1,0.44358333013735546,27
YGR110W,36,1,55,True,False,False,False,False,False,False,False,,,Glycerophospholipid metabolism,0.1874999990234375,0.6111111043209877,0.09999999000000101,0.48833332790567163,1,0.4418333295339701,28
YLR377C,1,1,4,True,True,True,False,False,False,False,False,,,Glycolysis / gluconeogenesis,0.005208333306206597,0.04444444395061729,0.09999999000000101,0.34541666350766814,2,0.44179166445536766,29
YFR019W,16,1,21,True,False,False,True,False,False,False,False,,,Inositol phosphate metabolism,0.08333333289930556,0.23333333074074078,0.09999999000000101,0.33333332938194477,2,0.43333333056736134,30
YDL142C,36,1,50,True,False,False,False,False,False,False,False,,,Glycerophospholipid metabolism,0.1874999990234375,0.5555555493827161,0.09999999000000101,0.4716666614241901,1,0.430166662996933,31
YOR126C,12,2,26,True,True,False,False,False,False,False,False,,,Complex alcohol metabolism; Fatty acid ester pathway,0.06249999967447917,0.2888888856790124,0.19999998000000202,0.47166665957349596,1,0.43016666170144713,32
YLR044C,8,5,15,False,True,True,False,False,False,False,False,,,Butanoate metabolism; Complex alcohol metabolism; Fatty acid ester pathway; Glycolysis / gluconeogenesis; Tryptophan metabolism,0.04166666644965278,0.16666666481481485,0.499999950000005,0.316666651024307,2,0.4216666557170149,33
YLR134W,8,5,15,False,True,True,False,False,False,False,False,,,Butanoate metabolism; Complex alcohol metabolism; Fatty acid ester pathway; Glycolysis / gluconeogenesis; Tryptophan metabolism,0.04166666644965278,0.16666666481481485,0.499999950000005,0.316666651024307,2,0.4216666557170149,34
YNR008W,128,1,48,False,False,False,False,False,False,False,False,,,Glycerolipid metabolism,0.6666666631944445,0.5333333274074075,0.09999999000000101,0.4566666605000003,1,0.41966666235000016,35
YOR311C,8,1,19,True,False,False,True,False,False,False,False,,,Glycerophospholipid metabolism,0.04166666644965278,0.21111110876543213,0.09999999000000101,0.30999999620949104,2,0.4169999973466437,36
YGL253W,3,1,9,False,True,True,True,False,False,False,False,,,Glycolysis / gluconeogenesis,0.015624999918619792,0.0999999988888889,0.09999999000000101,0.16624999663411488,3,0.4163749976438804,37
YFR053C,3,1,9,False,True,True,True,False,False,False,False,,,Glycolysis / gluconeogenesis,0.015624999918619792,0.0999999988888889,0.09999999000000101,0.16624999663411488,3,0.4163749976438804,38
YHR137W,5,3,15,True,True,False,False,False,False,False,False,,,"Cysteine and methionine metabolism; Fatty acid ester pathway; Phenylalanine, tyrosine and tryptophan biosynthesis",0.026041666531032986,0.16666666481481485,0.299999970000003,0.4504166570568585,1,0.41529165993980094,39
YNL106C,64,1,86,False,False,False,False,False,False,False,False,,,Inositol phosphate metabolism,0.3333333315972222,0.9555555449382718,0.09999999000000101,0.4499999931203707,1,0.41499999518425945,40
YOR109W,64,1,86,False,False,False,False,False,False,False,False,,,Inositol phosphate metabolism,0.3333333315972222,0.9555555449382718,0.09999999000000101,0.4499999931203707,1,0.41499999518425945,41
YPL061W,4,3,14,True,True,False,False,False,False,False,False,,,Fatty acid ester pathway; Glycolysis / gluconeogenesis; Tryptophan metabolism,0.02083333322482639,0.15555555382716052,0.299999970000003,0.4449999904380796,1,0.41149999330665565,42
YDR452W,6,2,20,True,True,False,False,False,False,False,False,,,Oxidative phosphorylation; Purine metabolism,0.031249999837239584,0.22222221975308645,0.19999998000000202,0.4391666598608224,1,0.40741666190257564,43
YHR104W,4,3,11,True,True,False,False,False,False,False,False,,,Glycerolipid metabolism; Pentose and glucuronate interconversions; Pyruvate metabolism,0.02083333322482639,0.12222222086419755,0.299999970000003,0.4349999905491907,1,0.40449999338443343,44
YGR209C,9,4,28,True,False,False,False,False,False,False,False,,,Glutathione metabolism; Purine metabolism; Pyrimidine metabolism; Sulfur metabolism,0.046874999755859376,0.31111110765432104,0.39999996000000404,0.43208332019864126,1,0.40245832413904886,45
YOL096C,5,1,14,True,False,True,False,False,False,False,False,,,Ubiquinone and other terpenoid-quinone biosynthesis,0.026041666531032986,0.15555555382716052,0.09999999000000101,0.28708332976056167,2,0.40095833083239313,46
YJR019C,10,1,23,True,True,False,False,False,False,False,False,,,Biosynthesis of unsaturated fatty acids,0.05208333306206597,0.2555555527160494,0.09999999000000101,0.4274999960396415,1,0.399249997227749,47
YDR017C,4,1,12,True,False,False,True,False,False,False,False,,,Phosphatidylinositol signaling system,0.02083333322482639,0.13333333185185187,0.09999999000000101,0.2783333298454864,2,0.3948333308918405,48
YJL130C,2,1,11,True,False,True,False,False,False,False,False,,,Pyrimidine metabolism,0.010416666612413195,0.12222222086419755,0.09999999000000101,0.2708333299042249,2,0.3895833309329574,49
YCL030C,3,1,10,True,False,True,False,False,False,False,False,,,Histidine metabolism,0.015624999918619792,0.11111110987654323,0.09999999000000101,0.26958332993041123,2,0.3887083309512879,50
YNR012W,4,1,9,True,False,False,True,False,False,False,False,,,Pyrimidine metabolism,0.02083333322482639,0.0999999988888889,0.09999999000000101,0.26833332995659753,2,0.38783333096961825,51
YBR208C,2,1,10,True,False,True,False,False,False,False,False,,,Arginine biosynthesis,0.010416666612413195,0.11111110987654323,0.09999999000000101,0.26749999660792856,2,0.38724999762554996,52
